Compute Workflow	PSE	Assay	Protocol	Date Scheduled	Work Order	Sample Full Name	# of Inputs	# of Instrument Data	Status	Executions
186014	164587042	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 6:53	2854509	164192260	16	16	ready	1
186039	164587611	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:00	2854509	164192319	16	16	ready	1
186040	164587625	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:00	2854509	164192323	16	16	ready	1
186057	164587899	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:02	2854509	164193407	16	16	ready	1
186060	164587937	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:02	2854509	164192271	16	16	ready	1
186084	164588402	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:07	2854509	164187806	16	16	ready	1
186098	164588645	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:09	2854509	164193930	16	16	ready	1
186113	164588824	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:10	2854509	164192259	16	16	ready	1
186114	164588840	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:10	2854509	164192284	16	16	ready	1
186117	164588852	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:10	2854509	164192280	16	16	ready	1
186141	164589265	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:14	2854509	164193894	16	16	ready	1
186142	164589270	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:14	2854509	164192263	16	16	ready	1
186156	164589464	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:15	2854509	164192270	16	16	ready	1
186158	164589467	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:15	2854509	164193890	16	16	ready	1
186165	164589616	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:17	2854509	164193391	16	16	ready	1
186201	164590094	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:21	2854509	164193399	16	16	ready	1
186229	164590552	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:26	2854509	164192322	16	16	ready	1
186349	164592712	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:36	2854509	164193982	16	16	ready	1
186350	164592713	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:36	2854509	164192262	16	16	ready	1
186351	164592724	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:36	2854509	164192308	16	16	ready	1
186352	164592726	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:36	2854509	164193405	16	16	ready	1
186383	164593409	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:41	2854509	164192309	16	16	ready	1
186432	164594269	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:50	2854509	164192314	16	16	ready	1
186439	164594310	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:50	2854509	164193966	16	16	ready	1
186443	164594337	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:50	2854509	164192337	16	16	ready	1
186446	164594465	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:51	2854509	164192295	16	16	ready	1
186454	164594694	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:53	2854509	164192673	16	16	ready	1
186477	164594937	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:55	2854509	164193959	16	16	ready	1
186478	164594939	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:55	2854509	164192334	16	16	ready	1
186487	164595166	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 7:57	2854509	164192339	16	16	ready	1
186518	164595566	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:00	2854509	164192340	16	16	ready	1
186530	164595752	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:02	2854509	164193908	16	16	ready	1
186531	164595751	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:02	2854509	164192292	16	16	ready	1
186532	164595753	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:02	2854509	164193931	16	16	ready	1
186543	164595849	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:02	2854509	164192274	16	16	ready	1
186557	164596062	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:05	2854509	164193969	16	16	ready	1
186559	164596065	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:05	2854509	164192329	16	16	ready	1
186563	164596108	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:05	2854509	164192333	16	16	ready	1
186564	164596120	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:05	2854509	164192669	16	16	ready	1
186565	164596123	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:05	2854509	164192328	16	16	ready	1
186566	164596133	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:05	2854509	164193907	16	16	ready	1
186567	164596138	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:05	2854509	164192298	16	16	ready	1
186598	164596795	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:11	2854509	164192664	16	16	ready	1
186603	164596821	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:11	2854509	164192301	16	16	ready	1
186604	164596822	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:11	2854509	164192660	16	16	ready	1
186608	164596936	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:13	2854509	164193937	16	16	ready	1
186609	164596938	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:13	2854509	164192659	16	16	ready	1
186616	164597054	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:14	2854509	164193967	16	16	ready	1
186617	164597058	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:14	2854509	164192294	16	16	ready	1
186628	164597279	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:19	2854509	164192324	16	16	ready	1
186639	164597460	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:21	2854509	164193895	16	16	ready	1
186640	164597461	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:21	2854509	164192302	16	16	ready	1
186641	164597466	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:21	2854509	164192289	16	16	ready	1
186642	164597465	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:21	2854509	164192666	16	16	ready	1
186648	164597640	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:23	2854509	164192662	16	16	ready	1
186666	164597940	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:26	2854509	164192656	16	16	ready	1
186669	164597950	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:26	2854509	164192676	16	16	ready	1
186670	164597953	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:26	2854509	164192665	16	16	ready	1
186686	164598148	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:27	2854509	164192661	16	16	ready	1
186687	164598155	CCDG WGS	Aligned Bam To BQSR Cram And VCF Without Genotype	1/25/18 8:27	2854509	164192667	16	16	ready	1
